Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"TIPH.R","DHIPAYA GROUP HOLDINGS NON-VOTING","Financials","Aktien","947.548,97","0,00","947.548,97","1.118.700,00","0,85","Thailand","Stock Exchange Of Thailand","THB"
"600348","SHANXI HUAYANG GROUP NEW ENERGY LT","Energie","Aktien","946.581,15","0,00","946.581,15","977.300,00","0,97","China","Shanghai Stock Exchange","CNY"
"3673","TPK HOLDING LTD","IT","Aktien","946.638,14","0,00","946.638,14","679.984,00","1,39","Taiwan","Taiwan Stock Exchange","TWD"
"2867","MASSMUTUAL MERCURIES LIFE INSURANC","Financials","Aktien","944.226,03","0,00","944.226,03","3.825.372,00","0,25","Taiwan","Taiwan Stock Exchange","TWD"
"VIPIND","VIP INDUSTRIES LTD","Zyklische Konsumgüter ","Aktien","944.716,39","0,00","944.716,39","158.281,00","5,97","Indien","National Stock Exchange Of India","INR"
"ECOR3","ECORODOVIAS INFRAESTRUTURA E LOGIS","Industrie","Aktien","942.530,12","0,00","942.530,12","704.397,00","1,34","Brasilien","XBSP","BRL"
"8050","IBASE TECHNOLOGY INC","IT","Aktien","943.187,86","0,00","943.187,86","413.000,00","2,28","Taiwan","Gretai Securities Market","TWD"
"073240","KUMHO TIREINC INC","Zyklische Konsumgüter ","Aktien","942.926,75","0,00","942.926,75","279.763,00","3,37","Korea","Korea Exchange (Stock Market)","KRW"
"RLX","RLX TECHNOLOGY AMERICAN DEPOSITARY","Nichtzyklische Konsumgüter","Aktien","942.819,90","0,00","942.819,90","571.406,00","1,65","China","New York Stock Exchange Inc.","USD"
"3393","WASION HOLDINGS LTD","IT","Aktien","942.790,58","0,00","942.790,58","1.284.000,00","0,73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"EPIGRAL","EPIGRAL LTD","Materialien","Aktien","939.478,32","0,00","939.478,32","39.420,00","23,83","Indien","National Stock Exchange Of India","INR"
"1231","LIAN HWA FOODS CORP","Nichtzyklische Konsumgüter","Aktien","940.915,53","0,00","940.915,53","274.670,00","3,43","Taiwan","Taiwan Stock Exchange","TWD"
"000876","NEW HOPE LIUHE LTD A","Nichtzyklische Konsumgüter","Aktien","940.293,97","0,00","940.293,97","800.800,00","1,17","China","Shenzhen Stock Exchange","CNY"
"064960","SNT MOTIV LTD","Zyklische Konsumgüter ","Aktien","940.963,89","0,00","940.963,89","26.668,00","35,28","Korea","Korea Exchange (Stock Market)","KRW"
"2338","TAIWAN MASK CORP","IT","Aktien","941.658,06","0,00","941.658,06","529.000,00","1,78","Taiwan","Taiwan Stock Exchange","TWD"
"BFREN.E","BOSCH FREN SISTEMLERI A","Zyklische Konsumgüter ","Aktien","937.569,81","0,00","937.569,81","42.930,00","21,84","Türkei","Istanbul Stock Exchange","TRY"
"EQUITASBNK","EQUITAS SMALL FINANCE BANK LTD","Financials","Aktien","938.710,16","0,00","938.710,16","962.796,00","0,97","Indien","National Stock Exchange Of India","INR"
"2441","GREATEK ELECTRONICS INC","IT","Aktien","938.826,84","0,00","938.826,84","521.000,00","1,80","Taiwan","Taiwan Stock Exchange","TWD"
"IWEL","INOX WIND ENERGY LTD","Industrie","Aktien","938.607,62","0,00","938.607,62","5.958,00","157,54","Indien","National Stock Exchange Of India","INR"
"LWSA3","LWSA SA","IT","Aktien","938.685,73","0,00","938.685,73","1.242.458,00","0,76","Brasilien","XBSP","BRL"
"002916","SHENNAN CIRCUITS LTD A","IT","Aktien","938.031,86","0,00","938.031,86","73.940,00","12,69","China","Shenzhen Stock Exchange","CNY"
"3715","DYNAMIC HOLDING LTD","IT","Aktien","935.754,73","0,00","935.754,73","431.000,00","2,17","Taiwan","Taiwan Stock Exchange","TWD"
"002180","NINESTAR CORP A","IT","Aktien","936.849,25","0,00","936.849,25","276.300,00","3,39","China","Shenzhen Stock Exchange","CNY"
"688169","BEIJING ROBOROCK TECHNOLOGY LTD A","Zyklische Konsumgüter ","Aktien","930.537,72","0,00","930.537,72","27.762,00","33,52","China","Shanghai Stock Exchange","CNY"
"GENUSPOWER","GENUS POWER INFRASTRUCTURES LTD","IT","Aktien","931.513,55","0,00","931.513,55","187.561,00","4,97","Indien","National Stock Exchange Of India","INR"
"8081","GLOBAL MIXED-MODE TECHNOLOGY INC","IT","Aktien","930.642,89","0,00","930.642,89","134.000,00","6,95","Taiwan","Taiwan Stock Exchange","TWD"
"002202","GOLDWIND SCIENCE&TECHNOLOGY LTD A","Industrie","Aktien","931.173,37","0,00","931.173,37","799.794,00","1,16","China","Shenzhen Stock Exchange","CNY"
"NSLNISP","NMDC STEEL LTD","Materialien","Aktien","930.337,33","0,00","930.337,33","1.537.147,00","0,61","Indien","National Stock Exchange Of India","INR"
"000100","TCL TECHNOLOGY GROUP CORP A","IT","Aktien","932.484,18","0,00","932.484,18","1.758.169,00","0,53","China","Shenzhen Stock Exchange","CNY"
"VTEX","VTEX CLASS A","Kommunikation","Aktien","931.356,00","0,00","931.356,00","126.200,00","7,38","Brasilien","New York Stock Exchange Inc.","USD"
"000408","ZANGGE MINING LTD A","Materialien","Aktien","930.645,17","0,00","930.645,17","269.400,00","3,45","China","Shenzhen Stock Exchange","CNY"
"2328","PAN-INTERNATIONAL INDUSTRIAL CORP","IT","Aktien","930.070,39","0,00","930.070,39","847.000,00","1,10","Taiwan","Taiwan Stock Exchange","TWD"
"069260","TKG HUCHEMS LTD","Materialien","Aktien","927.416,11","0,00","927.416,11","66.311,00","13,99","Korea","Korea Exchange (Stock Market)","KRW"
"AARTIPHARM","AARTI PHARMALABS LTD","Gesundheitsversorgung","Aktien","924.780,54","0,00","924.780,54","121.823,00","7,59","Indien","National Stock Exchange Of India","INR"
"222080","CREATIVE & INNOVATIVE SYSTEM CORP","Industrie","Aktien","924.830,09","0,00","924.830,09","133.328,00","6,94","Korea","Korea Exchange (Kosdaq)","KRW"
"2208","CSBC CORP","Industrie","Aktien","924.110,04","0,00","924.110,04","1.687.953,00","0,55","Taiwan","Taiwan Stock Exchange","TWD"
"600837","HAITONG SECURITIES LTD CLASS A","Financials","Aktien","924.909,06","0,00","924.909,06","743.687,00","1,24","China","Shanghai Stock Exchange","CNY"
"ESABINDIA","ESAB INDIA LTD","Industrie","Aktien","922.584,04","0,00","922.584,04","12.837,00","71,87","Indien","National Stock Exchange Of India","INR"
"5469","HANNSTAR BOARD CORP","IT","Aktien","922.927,21","0,00","922.927,21","554.537,00","1,66","Taiwan","Taiwan Stock Exchange","TWD"
"000932","HUNAN VALIN STEEL LTD A","Materialien","Aktien","922.650,44","0,00","922.650,44","1.902.400,00","0,48","China","Shenzhen Stock Exchange","CNY"
"TURSG.E","TURKIYE SIGORTA ANONIM SIRKETI","Financials","Aktien","922.267,11","0,00","922.267,11","2.531.041,00","0,36","Türkei","Istanbul Stock Exchange","TRY"
"603658","AUTOBIO DIAGNOSTICS LTD A","Gesundheitsversorgung","Aktien","920.971,97","0,00","920.971,97","167.900,00","5,49","China","Shanghai Stock Exchange","CNY"
"056190","SFA ENGINEERING CORP","Industrie","Aktien","920.655,92","0,00","920.655,92","47.709,00","19,30","Korea","Korea Exchange (Kosdaq)","KRW"
"STEC.R","SINO-THAI ENGINEERING AND CONSTRUC","Industrie","Aktien","918.747,33","0,00","918.747,33","3.083.400,00","0,30","Thailand","Stock Exchange Of Thailand","THB"
"TI","TILAKNAGAR INDUSTRIES LTD","Nichtzyklische Konsumgüter","Aktien","917.971,74","0,00","917.971,74","242.617,00","3,78","Indien","National Stock Exchange Of India","INR"
"2233","WEST CHINA CEMENT LTD","Materialien","Aktien","918.565,11","0,00","918.565,11","7.778.000,00","0,12","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SUPERMX","SUPERMAX CORPORATION","Gesundheitsversorgung","Aktien","914.447,79","0,00","914.447,79","4.296.372,00","0,21","Malaysia","Bursa Malaysia","MYR"
"1361","361 DEGREES INTERNATIONAL LTD","Zyklische Konsumgüter ","Aktien","912.459,97","0,00","912.459,97","2.154.000,00","0,42","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ADVENZYMES","ADVANCED ENZYME TECHNOLOGIES LTD","Materialien","Aktien","913.325,85","0,00","913.325,85","141.859,00","6,44","Indien","National Stock Exchange Of India","INR"
"AFE","AECI LTD","Materialien","Aktien","912.085,08","0,00","912.085,08","157.641,00","5,79","Südafrika","Johannesburg Stock Exchange","ZAR"
"2170","ALUJAIN CORPORATION CORP","Materialien","Aktien","913.898,92","0,00","913.898,92","85.734,00","10,66","Saudi-Arabien","Saudi Stock Exchange","SAR"
"AZAD","AZAD ENGINEERING LTD","Industrie","Aktien","911.967,56","0,00","911.967,56","51.145,00","17,83","Indien","National Stock Exchange Of India","INR"
"067310","HANA MICRON INC","IT","Aktien","913.320,22","0,00","913.320,22","110.162,00","8,29","Korea","Korea Exchange (Kosdaq)","KRW"
"1536","HOTA INDUSTRIAL MFG LTD","Zyklische Konsumgüter ","Aktien","912.983,48","0,00","912.983,48","491.305,00","1,86","Taiwan","Taiwan Stock Exchange","TWD"
"TIGR","UP FINTECH HOLDING ADR CLASS A LTD","Financials","Aktien","913.655,07","0,00","913.655,07","247.603,00","3,69","China","NASDAQ","USD"
"995","ANHUI EXPRESSWAY LTD H","Industrie","Aktien","910.483,11","0,00","910.483,11","806.000,00","1,13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2476","G SHANK ENTERPRISE LTD","Industrie","Aktien","909.047,40","0,00","909.047,40","303.000,00","3,00","Taiwan","Taiwan Stock Exchange","TWD"
"131970","DOOSAN TESNA INC","IT","Aktien","905.407,88","0,00","905.407,88","42.153,00","21,48","Korea","Korea Exchange (Kosdaq)","KRW"
"600875","DONGFANG ELECTRIC CORP LTD A","Industrie","Aktien","904.703,44","0,00","904.703,44","511.600,00","1,77","China","Shanghai Stock Exchange","CNY"
"ASHOKA","ASHOKA BUILDCON LTD","Industrie","Aktien","901.724,53","0,00","901.724,53","319.773,00","2,82","Indien","National Stock Exchange Of India","INR"
"JSW","JASTRZEBSKA SPOLKA WEGLOWA SA","Materialien","Aktien","902.425,14","0,00","902.425,14","155.835,00","5,79","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"MHRIL","MAHINDRA HOLIDAYS AND RESORTS INDI","Zyklische Konsumgüter ","Aktien","901.363,26","0,00","901.363,26","185.925,00","4,85","Indien","National Stock Exchange Of India","INR"
"3030","TEST RESEARCH INC","IT","Aktien","901.267,01","0,00","901.267,01","198.000,00","4,55","Taiwan","Taiwan Stock Exchange","TWD"
"601077","CHONGQING RURAL COMMERCIAL BANK LT","Financials","Aktien","899.686,17","0,00","899.686,17","1.310.800,00","0,69","China","Shanghai Stock Exchange","CNY"
"GFPT.R","GFPT NON-VOTING DR PCL","Nichtzyklische Konsumgüter","Aktien","898.435,15","0,00","898.435,15","2.495.800,00","0,36","Thailand","Stock Exchange Of Thailand","THB"
"PARADEEP","PARADEEP PHOSPHATES LTD","Materialien","Aktien","898.350,87","0,00","898.350,87","909.899,00","0,99","Indien","National Stock Exchange Of India","INR"
"2877","CHINA SHINEWAY PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","897.365,01","0,00","897.365,01","873.826,00","1,03","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2038","FIH MOBILE LTD","IT","Aktien","896.108,55","0,00","896.108,55","9.066.000,00","0,10","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"6456","GENERAL INTERFACE SOLUTION GIS HOL","IT","Aktien","896.880,96","0,00","896.880,96","496.000,00","1,81","Taiwan","Taiwan Stock Exchange","TWD"
"6469","GREAT TREE PHARMACY COLTD LTD","Nichtzyklische Konsumgüter","Aktien","896.911,87","0,00","896.911,87","151.692,00","5,91","Taiwan","Gretai Securities Market","TWD"
"3877","CSSC (HONG KONG) SHIPPING LTD","Financials","Aktien","895.199,71","0,00","895.199,71","4.558.000,00","0,20","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1952","EVEREST MEDICINES LTD","Gesundheitsversorgung","Aktien","894.976,35","0,00","894.976,35","280.000,00","3,20","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SPRC.R","STAR PETROLEUM REFINING PCL NON-VO","Energie","Aktien","894.504,42","0,00","894.504,42","4.316.800,00","0,21","Thailand","Stock Exchange Of Thailand","THB"
"195940","HK INNO.N CORP","Gesundheitsversorgung","Aktien","893.608,49","0,00","893.608,49","24.541,00","36,41","Korea","Korea Exchange (Kosdaq)","KRW"
"074600","WONIK QNC CORP","IT","Aktien","892.571,36","0,00","892.571,36","50.593,00","17,64","Korea","Korea Exchange (Kosdaq)","KRW"
"TUPY3","TUPY SA","Industrie","Aktien","889.872,90","0,00","889.872,90","185.576,00","4,80","Brasilien","XBSP","BRL"
"81","CHINA OVERSEAS GRAND OCEANS GROUP","Immobilien","Aktien","887.507,94","0,00","887.507,94","4.671.500,00","0,19","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"002340","GEM LTD A","Materialien","Aktien","887.763,85","0,00","887.763,85","1.108.000,00","0,80","China","Shenzhen Stock Exchange","CNY"
"601377","INDUSTRIAL SECURITIES LTD A","Financials","Aktien","888.406,37","0,00","888.406,37","1.200.140,00","0,74","China","Shanghai Stock Exchange","CNY"
"AZNOULA","SHAMAL AZ ZOUR AL OULA KSC","Versorger","Aktien","888.665,68","0,00","888.665,68","1.807.546,00","0,49","Kuwait","Kuwait Stock Exchange","KWD"
"002673","WESTERN SECURITIES CO LTD A","Financials","Aktien","887.142,00","0,00","887.142,00","974.426,00","0,91","China","Shenzhen Stock Exchange","CNY"
"DOHOME.R","DOHOME PCL NON-VOTING DR","Zyklische Konsumgüter ","Aktien","886.110,24","0,00","886.110,24","2.638.972,00","0,34","Thailand","Stock Exchange Of Thailand","THB"
"317330","DUKSAN TECHOPIA LTD","IT","Aktien","886.482,47","0,00","886.482,47","27.725,00","31,97","Korea","Korea Exchange (Kosdaq)","KRW"
"ENJSA.E","ENERJISA ENERJI","Versorger","Aktien","885.029,42","0,00","885.029,42","520.527,00","1,70","Türkei","Istanbul Stock Exchange","TRY"
"GARFIBRES","GARWARE TECHNICAL FIBRES LTD","Zyklische Konsumgüter ","Aktien","882.707,91","0,00","882.707,91","18.020,00","48,98","Indien","National Stock Exchange Of India","INR"
"1133","HARBIN ELECTRIC LTD H","Industrie","Aktien","883.905,96","0,00","883.905,96","2.968.000,00","0,30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"457190","ISU SPECIALTY CHEMICAL LTD","Materialien","Aktien","882.491,57","0,00","882.491,57","24.747,00","35,66","Korea","Korea Exchange (Stock Market)","KRW"
"1478","Q TECHNOLOGY (GROUP) LTD","IT","Aktien","883.674,90","0,00","883.674,90","1.523.000,00","0,58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"VNET","VNET GROUP ADR INC","IT","Aktien","880.143,84","0,00","880.143,84","257.352,00","3,42","China","NASDAQ","USD"
"BAJAJHIND","BAJAJ HINDUSTHAN SUGAR LTD","Nichtzyklische Konsumgüter","Aktien","877.941,61","0,00","877.941,61","1.894.401,00","0,46","Indien","National Stock Exchange Of India","INR"
"4174","OBI PHARMA INC","Gesundheitsversorgung","Aktien","878.408,92","0,00","878.408,92","370.916,00","2,37","Taiwan","Gretai Securities Market","TWD"
"OTKAR.E","OTOKAR OTOMOTIV SAVUNMA SANAYI","Industrie","Aktien","879.865,53","0,00","879.865,53","65.713,00","13,39","Türkei","Istanbul Stock Exchange","TRY"
"AMATA.R","AMATA CORPORATION NON-VOTING DR PC","Immobilien","Aktien","877.583,38","0,00","877.583,38","1.137.675,00","0,77","Thailand","Stock Exchange Of Thailand","THB"
"600298","ANGEL YEAST LTD A","Nichtzyklische Konsumgüter","Aktien","877.308,85","0,00","877.308,85","188.900,00","4,64","China","Shanghai Stock Exchange","CNY"
"114090","GKL LTD","Zyklische Konsumgüter ","Aktien","875.930,03","0,00","875.930,03","100.804,00","8,69","Korea","Korea Exchange (Stock Market)","KRW"
"009450","KYUNG DONG NAVIEN LTD","Industrie","Aktien","875.669,88","0,00","875.669,88","16.604,00","52,74","Korea","Korea Exchange (Stock Market)","KRW"
"1909","LONG CHEN PAPER LTD","Materialien","Aktien","877.262,33","0,00","877.262,33","2.061.889,00","0,43","Taiwan","Taiwan Stock Exchange","TWD"
"ORIENTCEM","ORIENT CEMENT LTD","Materialien","Aktien","877.125,87","0,00","877.125,87","253.202,00","3,46","Indien","National Stock Exchange Of India","INR"
"AGHOL.E","ANADOLU GRUBU HOLDING A","Industrie","Aktien","875.254,91","0,00","875.254,91","90.271,00","9,70","Türkei","Istanbul Stock Exchange","TRY"
"STC","KUWAIT TELECOMMUNICATIONS","Kommunikation","Aktien","873.405,20","0,00","873.405,20","491.653,00","1,78","Kuwait","Kuwait Stock Exchange","KWD"
"030190","NICE INFORMATION SERVICE LTD","Industrie","Aktien","875.284,53","0,00","875.284,53","115.764,00","7,56","Korea","Korea Exchange (Stock Market)","KRW"
"TVO.R","THAI VEGETABLE OIL NON-VOTING DR P","Nichtzyklische Konsumgüter","Aktien","874.968,33","0,00","874.968,33","1.190.299,00","0,74","Thailand","Stock Exchange Of Thailand","THB"
"002353","YANTAI JEREH OILFIELD SERVICES GRO","Energie","Aktien","873.708,66","0,00","873.708,66","217.399,00","4,02","China","Shenzhen Stock Exchange","CNY"
"TTW.R","TTW PUBLIC COMPANY LIMITED NON-VOT","Versorger","Aktien","872.856,39","0,00","872.856,39","3.119.400,00","0,28","Thailand","Stock Exchange Of Thailand","THB"
"018670","SK GAS LTD","Energie","Aktien","868.715,32","0,00","868.715,32","6.729,00","129,10","Korea","Korea Exchange (Stock Market)","KRW"
"ALOKINDS","ALOK INDUSTRIES LTD","Zyklische Konsumgüter ","Aktien","867.409,53","0,00","867.409,53","2.852.813,00","0,30","Indien","National Stock Exchange Of India","INR"
"2348","HIYES INTERNATIONAL LTD","Immobilien","Aktien","867.010,79","0,00","867.010,79","149.000,00","5,82","Taiwan","Taiwan Stock Exchange","TWD"
"ONCO3","ONCOCLINICAS DO BRASIL SERVICOS ME","Gesundheitsversorgung","Aktien","866.583,32","0,00","866.583,32","904.970,00","0,96","Brasilien","XBSP","BRL"
"934","SINOPEC KANTONS HOLDINGS LTD","Energie","Aktien","867.983,29","0,00","867.983,29","1.558.000,00","0,56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TAANN","TA ANN HOLDINGS","Nichtzyklische Konsumgüter","Aktien","868.058,26","0,00","868.058,26","948.100,00","0,92","Malaysia","Bursa Malaysia","MYR"
"300999","YIHAI KERRY ARAWANA HOLDINGS LTD A","Nichtzyklische Konsumgüter","Aktien","866.275,69","0,00","866.275,69","238.900,00","3,63","China","Shenzhen Stock Exchange","CNY"
"600027","HUADIAN POWER INTERNATIONAL CORP L","Versorger","Aktien","864.699,75","0,00","864.699,75","1.195.600,00","0,72","China","Shanghai Stock Exchange","CNY"
"002064","HUAFON CHEMICAL LTD A","Materialien","Aktien","864.430,31","0,00","864.430,31","909.800,00","0,95","China","Shenzhen Stock Exchange","CNY"
"002466","TIANQI LITHIUM INDUSTRIES CORP A","Materialien","Aktien","864.030,69","0,00","864.030,69","244.300,00","3,54","China","Shenzhen Stock Exchange","CNY"
"080220","JEJU SEMICONDUCTOR CORP","IT","Aktien","863.740,99","0,00","863.740,99","92.364,00","9,35","Korea","Korea Exchange (Kosdaq)","KRW"
"2897","O-BANK LTD","Financials","Aktien","863.547,63","0,00","863.547,63","2.733.000,00","0,32","Taiwan","Taiwan Stock Exchange","TWD"
"4161","BINDAWOOD HOLDING","Nichtzyklische Konsumgüter","Aktien","860.124,85","0,00","860.124,85","450.150,00","1,91","Saudi-Arabien","Saudi Stock Exchange","SAR"
"300765","CSPC INNOVATION PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","861.471,74","0,00","861.471,74","268.440,00","3,21","China","Shenzhen Stock Exchange","CNY"
"GSFC","GUJARAT STATE FERTILIZERS AND CHEM","Materialien","Aktien","861.277,14","0,00","861.277,14","329.055,00","2,62","Indien","National Stock Exchange Of India","INR"
"BEEF3","MINERVA SA","Nichtzyklische Konsumgüter","Aktien","861.454,77","0,00","861.454,77","724.651,00","1,19","Brasilien","XBSP","BRL"
"THG.R","THONBURI HEALTHCARE GROUP PCL NON-","Gesundheitsversorgung","Aktien","859.680,10","0,00","859.680,10","1.125.500,00","0,76","Thailand","Stock Exchange Of Thailand","THB"
"ZOREN.E","ZORLU ENERJI ELEKTRIK URETIMI A","Versorger","Aktien","860.704,75","0,00","860.704,75","6.672.907,00","0,13","Türkei","Istanbul Stock Exchange","TRY"
"579","BEIJING JINGNENG CLEAN ENERGY LTD","Versorger","Aktien","859.136,22","0,00","859.136,22","3.760.000,00","0,23","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"032350","LOTTE TOUR DEVELOPMENT LTD","Zyklische Konsumgüter ","Aktien","857.561,02","0,00","857.561,02","120.877,00","7,09","Korea","Korea Exchange (Stock Market)","KRW"
"EQUABZ","EQUATORIAL ENERGIA RECEIPT","Versorger","Aktien","855.454,67","0,00","855.454,67","144.585,00","5,92","Brasilien","XBSP","BRL"
"300413","MANGO EXCELLENT MEDIA LTD A","Kommunikation","Aktien","856.223,02","0,00","856.223,02","317.611,00","2,70","China","Shenzhen Stock Exchange","CNY"
"OYAKC.E","OYAK CIMENTO FABRIKALARI A.S.","Materialien","Aktien","853.060,67","0,00","853.060,67","454.688,00","1,88","Türkei","Istanbul Stock Exchange","TRY"
"603806","HANGZHOU FIRST APPLIED MATERIAL LT","IT","Aktien","851.510,99","0,00","851.510,99","431.672,00","1,97","China","Shanghai Stock Exchange","CNY"
"000783","CHANGJIANG SECURITIES LTD A","Financials","Aktien","847.958,56","0,00","847.958,56","1.198.298,00","0,71","China","Shenzhen Stock Exchange","CNY"
"HIBISCS","HIBISCUS PETROLEUM","Energie","Aktien","849.740,40","0,00","849.740,40","1.654.240,00","0,51","Malaysia","Bursa Malaysia","MYR"
"639","SHOUGANG FUSHAN RESOURCES GROUP LT","Materialien","Aktien","849.765,41","0,00","849.765,41","2.596.000,00","0,33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"002555","37 INTERACTIVE ENTERTAINMENT NETWO","Kommunikation","Aktien","845.971,07","0,00","845.971,07","437.995,00","1,93","China","Shenzhen Stock Exchange","CNY"
"601198","DONGXING SECURITIES CORP LTD A","Financials","Aktien","846.916,06","0,00","846.916,06","730.986,00","1,16","China","Shanghai Stock Exchange","CNY"
"INDIACEM","INDIA CEMENTS LTD","Materialien","Aktien","846.051,89","0,00","846.051,89","195.507,00","4,33","Indien","National Stock Exchange Of India","INR"
"001720","SHINYOUNG SECURITIES LTD","Financials","Aktien","846.597,58","0,00","846.597,58","14.335,00","59,06","Korea","Korea Exchange (Stock Market)","KRW"
"SMU","SMU SA","Nichtzyklische Konsumgüter","Aktien","847.737,06","0,00","847.737,06","5.555.812,00","0,15","Chile","Santiago Stock Exchange","CLP"
"TV18BRDCST","TV18 BROADCAST LTD","Kommunikation","Aktien","846.308,58","0,00","846.308,58","1.535.531,00","0,55","Indien","National Stock Exchange Of India","INR"
"278470","APR LTD","Nichtzyklische Konsumgüter","Aktien","845.238,11","0,00","845.238,11","3.949,00","214,04","Korea","Korea Exchange (Stock Market)","KRW"
"002600","LINGYI ITECH (GUANGDONG) A","IT","Aktien","843.933,95","0,00","843.933,95","941.634,00","0,90","China","Shenzhen Stock Exchange","CNY"
"6491","PEGAVISION CORPORATION CORP","Gesundheitsversorgung","Aktien","845.318,82","0,00","845.318,82","66.227,00","12,76","Taiwan","Taiwan Stock Exchange","TWD"
"300394","SUZHOU TFC OPTICAL COMMUNICATION L","IT","Aktien","845.203,60","0,00","845.203,60","81.200,00","10,41","China","Shenzhen Stock Exchange","CNY"
"BBL","BHARAT BIJLEE LTD","Industrie","Aktien","842.941,49","0,00","842.941,49","15.333,00","54,98","Indien","National Stock Exchange Of India","INR"
"417200","LS MATERIALS LTD","Industrie","Aktien","842.879,79","0,00","842.879,79","63.729,00","13,23","Korea","Korea Exchange (Kosdaq)","KRW"
"RITES","RITES LTD","Industrie","Aktien","841.888,35","0,00","841.888,35","188.524,00","4,47","Indien","National Stock Exchange Of India","INR"
"RITES","RITES LTD","Industrie","Aktien","841.888,35","0,00","841.888,35","188.524,00","4,47","Indien","National Stock Exchange Of India","INR"
"100090","SK OCEANPLANT COLTD LTD","Industrie","Aktien","843.264,07","0,00","843.264,07","72.548,00","11,62","Korea","Korea Exchange (Stock Market)","KRW"
"3693","AIC INC","IT","Aktien","840.300,33","0,00","840.300,33","75.450,00","11,14","Taiwan","Gretai Securities Market","TWD"
"300418","KUNLUN TECH LTD A","Kommunikation","Aktien","839.724,03","0,00","839.724,03","217.700,00","3,86","China","Shenzhen Stock Exchange","CNY"
"1202","MIDDLE EAST PAPER","Materialien","Aktien","840.703,01","0,00","840.703,01","70.496,00","11,93","Saudi-Arabien","Saudi Stock Exchange","SAR"
"NOAH","NOAH HOLDINGS AMERICAN DEPOSITARY","Financials","Aktien","840.406,44","0,00","840.406,44","94.854,00","8,86","China","New York Stock Exchange Inc.","USD"
"6533","ANDES TECHNOLOGY CORP","IT","Aktien","838.291,88","0,00","838.291,88","77.000,00","10,89","Taiwan","Taiwan Stock Exchange","TWD"
"600803","ENN NATURAL GAS LTD A","Versorger","Aktien","837.168,60","0,00","837.168,60","329.800,00","2,54","China","Shanghai Stock Exchange","CNY"
"3026","HOLYSTONE ENTERPRISE LTD","IT","Aktien","836.688,60","0,00","836.688,60","296.505,00","2,82","Taiwan","Taiwan Stock Exchange","TWD"
"214320","INNOCEAN WORLDWIDE INC","Kommunikation","Aktien","838.660,09","0,00","838.660,09","57.729,00","14,53","Korea","Korea Exchange (Stock Market)","KRW"
"604","SHENZHEN INVESTMENT LTD","Immobilien","Aktien","836.732,47","0,00","836.732,47","8.929.139,00","0,09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GLS","GLENMARK LIFE SCIENCES LTD","Gesundheitsversorgung","Aktien","834.750,52","0,00","834.750,52","60.564,00","13,78","Indien","National Stock Exchange Of India","INR"
"1308","ASIA POLYMER CORP","Materialien","Aktien","833.962,46","0,00","833.962,46","1.456.700,00","0,57","Taiwan","Taiwan Stock Exchange","TWD"
"601799","CHANGZHOU XINGYU AUTOMOTIVE LIGHTI","Zyklische Konsumgüter ","Aktien","832.337,11","0,00","832.337,11","45.000,00","18,50","China","Shanghai Stock Exchange","CNY"
"222800","SIMMTECH LTD","IT","Aktien","831.993,71","0,00","831.993,71","61.234,00","13,59","Korea","Korea Exchange (Kosdaq)","KRW"
"AIP","ADCOCK INGRAM HOLDINGS LTD","Gesundheitsversorgung","Aktien","827.836,81","0,00","827.836,81","214.747,00","3,85","Südafrika","Johannesburg Stock Exchange","ZAR"
"ABCB4","BANCO ABC BRASIL PREF SA","Financials","Aktien","827.271,35","0,00","827.271,35","200.627,00","4,12","Brasilien","XBSP","BRL"
"517","COSCO SHIPPING INTERNATIONAL (HONG","Industrie","Aktien","828.728,59","0,00","828.728,59","1.598.000,00","0,52","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"002074","GOTION HIGH-TECH LTD A","Industrie","Aktien","828.152,27","0,00","828.152,27","323.000,00","2,56","China","Shenzhen Stock Exchange","CNY"
"RENUKA","SHREE RENUKA SUGARS LTD","Nichtzyklische Konsumgüter","Aktien","826.442,97","0,00","826.442,97","1.453.417,00","0,57","Indien","National Stock Exchange Of India","INR"
