Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2303","UNITED MICRO ELECTRONICS CORP","IT","Aktien","47.752.654,47","0,21","47.752.654,47","28.372.000,00","1,68","Taiwan","Taiwan Stock Exchange","TWD"
"000270","KIA CORPORATION CORP","Zyklische Konsumgüter ","Aktien","47.237.489,02","0,21","47.237.489,02","594.584,00","79,45","Korea","Korea Exchange (Stock Market)","KRW"
"MARUTI","MARUTI SUZUKI INDIA LTD","Zyklische Konsumgüter ","Aktien","47.045.666,18","0,21","47.045.666,18","311.676,00","150,94","Indien","National Stock Exchange Of India","INR"
"SBK","STANDARD BANK GROUP","Financials","Aktien","45.812.066,51","0,20","45.812.066,51","3.295.954,00","13,90","Südafrika","Johannesburg Stock Exchange","ZAR"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Aktien","45.347.056,43","0,20","45.347.056,43","6.424.111,00","7,06","Mexiko","Bolsa Mexicana De Valores","MXN"
"ITC","ITC LTD","Nichtzyklische Konsumgüter","Aktien","45.014.832,66","0,20","45.014.832,66","7.313.217,00","6,16","Indien","National Stock Exchange Of India","INR"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Aktien","44.679.003,16","0,20","44.679.003,16","1.070.042,00","41,75","Korea","Korea Exchange (Stock Market)","KRW"
"EAND","EMIRATES TELECOM","Kommunikation","Aktien","44.344.029,34","0,19","44.344.029,34","8.747.348,00","5,07","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Nichtzyklische Konsumgüter","Aktien","44.339.291,53","0,19","44.339.291,53","4.451.065,00","9,96","Mexiko","Bolsa Mexicana De Valores","MXN"
"BMRI","BANK MANDIRI (PERSERO)","Financials","Aktien","44.091.614,52","0,19","44.091.614,52","91.505.200,00","0,48","Indonesien","Indonesia Stock Exchange","IDR"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Aktien","41.361.698,30","0,18","41.361.698,30","38.886.079,00","1,06","Taiwan","Taiwan Stock Exchange","TWD"
"WALMEX*","WALMART DE MEXICO V","Nichtzyklische Konsumgüter","Aktien","41.287.630,84","0,18","41.287.630,84","13.113.041,00","3,15","Mexiko","Bolsa Mexicana De Valores","MXN"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materialien","Aktien","41.167.516,09","0,18","41.167.516,09","291.601,00","141,18","Indien","National Stock Exchange Of India","INR"
"TITAN","TITAN COMPANY LTD","Zyklische Konsumgüter ","Aktien","40.970.410,65","0,18","40.970.410,65","901.697,00","45,44","Indien","National Stock Exchange Of India","INR"
"GMEXICOB","GRUPO MEXICO B","Materialien","Aktien","40.702.550,27","0,18","40.702.550,27","7.665.746,00","5,31","Mexiko","Bolsa Mexicana De Valores","MXN"
"PBBANK","PUBLIC BANK","Financials","Aktien","40.437.436,39","0,18","40.437.436,39","36.178.600,00","1,12","Malaysia","Bursa Malaysia","MYR"
"TRENT","TRENT LTD","Zyklische Konsumgüter ","Aktien","40.136.682,71","0,18","40.136.682,71","449.321,00","89,33","Indien","National Stock Exchange Of India","INR"
"FAB","FIRST ABU DHABI BANK","Financials","Aktien","39.981.165,28","0,17","39.981.165,28","10.813.757,00","3,70","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"857","PETROCHINA LTD H","Energie","Aktien","39.877.322,00","0,17","39.877.322,00","53.012.000,00","0,75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3711","ASE TECHNOLOGY HOLDING LTD","IT","Aktien","39.632.688,97","0,17","39.632.688,97","8.199.734,00","4,83","Taiwan","Taiwan Stock Exchange","TWD"
"2010","SAUDI BASIC INDUSTRIES","Materialien","Aktien","39.527.279,46","0,17","39.527.279,46","2.029.058,00","19,48","Saudi-Arabien","Saudi Stock Exchange","SAR"
"035420","NAVER CORP","Kommunikation","Aktien","38.930.693,73","0,17","38.930.693,73","323.619,00","120,30","Korea","Korea Exchange (Stock Market)","KRW"
"EMAAR","EMAAR PROPERTIES","Immobilien","Aktien","38.495.979,61","0,17","38.495.979,61","16.196.533,00","2,38","Ver. Arabische Emirate","Dubai Financial Market","AED"
"ASIANPAINT","ASIAN PAINTS LTD","Materialien","Aktien","38.480.972,73","0,17","38.480.972,73","972.461,00","39,57","Indien","National Stock Exchange Of India","INR"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Aktien","37.994.631,55","0,17","37.994.631,55","9.625.492,00","3,95","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"006400","SAMSUNG SDI LTD","IT","Aktien","37.519.986,83","0,16","37.519.986,83","132.461,00","283,25","Korea","Korea Exchange (Stock Market)","KRW"
"2412","CHUNGHWA TELECOM LTD","Kommunikation","Aktien","37.210.699,20","0,16","37.210.699,20","9.440.000,00","3,94","Taiwan","Taiwan Stock Exchange","TWD"
"CPI","CAPITEC LTD","Financials","Aktien","37.159.672,60","0,16","37.159.672,60","213.231,00","174,27","Südafrika","Johannesburg Stock Exchange","ZAR"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Aktien","36.245.315,16","0,16","36.245.315,16","29.442.986,00","1,23","Taiwan","Taiwan Stock Exchange","TWD"
"AMXB","AMERICA MOVIL B","Kommunikation","Aktien","36.198.895,19","0,16","36.198.895,19","45.077.408,00","0,80","Mexiko","Bolsa Mexicana De Valores","MXN"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energie","Aktien","35.551.964,98","0,16","35.551.964,98","61.138.000,00","0,58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CIMB","CIMB GROUP HOLDINGS","Financials","Aktien","35.219.746,67","0,15","35.219.746,67","17.547.279,00","2,01","Malaysia","Bursa Malaysia","MYR"
"2082","ACWA POWER CO","Versorger","Aktien","35.214.131,78","0,15","35.214.131,78","326.431,00","107,88","Saudi-Arabien","Saudi Stock Exchange","SAR"
"SBIN","STATE BANK OF INDIA","Financials","Aktien","34.738.844,47","0,15","34.738.844,47","3.713.890,00","9,35","Indien","National Stock Exchange Of India","INR"
"WEGE3","WEG SA","Industrie","Aktien","34.705.804,97","0,15","34.705.804,97","3.629.836,00","9,56","Brasilien","XBSP","BRL"
"207940","SAMSUNG BIOLOGICS LTD","Gesundheitsversorgung","Aktien","34.671.697,26","0,15","34.671.697,26","43.477,00","797,47","Korea","Korea Exchange (Stock Market)","KRW"
"MAYBANK","MALAYAN BANKING","Financials","Aktien","34.537.346,02","0,15","34.537.346,02","13.700.900,00","2,52","Malaysia","Bursa Malaysia","MYR"
"YUMC","YUM CHINA HOLDINGS INC","Zyklische Konsumgüter ","Aktien","34.335.481,40","0,15","34.335.481,40","966.380,00","35,53","China","New York Stock Exchange Inc.","USD"
