Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"DAY","DAYFORCE INC","Industrie","Aktien","5.058.601,70","0,05","5.058.601,70","85.870,00","58,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SGP","STOCKLAND STAPLED UNITS LTD","Immobilien","Aktien","5.054.689,16","0,05","5.054.689,16","1.388.149,00","3,64","Australien","Asx - All Markets","AUD"
"8795","T&D HOLDINGS INC","Financials","Aktien","4.978.327,97","0,05","4.978.327,97","283.200,00","17,58","Japan","Tokyo Stock Exchange","JPY"
"SCA B","SVENSKA CELLULOSA B","Materialien","Aktien","4.942.063,95","0,05","4.942.063,95","352.176,00","14,03","Schweden","Nasdaq Omx Nordic","SEK"
"HEN","HENKEL AG","Nichtzyklische Konsumgüter","Aktien","4.923.430,14","0,05","4.923.430,14","60.402,00","81,51","Deutschland","Xetra","EUR"
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","Industrie","Aktien","4.885.028,65","0,05","4.885.028,65","93.565,00","52,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OTEX","OPEN TEXT CORP","IT","Aktien","4.876.255,53","0,05","4.876.255,53","148.926,00","32,74","Kanada","Toronto Stock Exchange","CAD"
"PSON","PEARSON PLC","Zyklische Konsumgüter ","Aktien","4.822.767,68","0,05","4.822.767,68","353.944,00","13,63","Vereinigtes Königreich","London Stock Exchange","GBP"
"A17U","CAPITALAND ASCENDAS REIT","Immobilien","Aktien","4.800.501,04","0,05","4.800.501,04","2.170.800,00","2,21","Singapur","Singapore Exchange","SGD"
"ASX","ASX LTD","Financials","Aktien","4.790.786,59","0,05","4.790.786,59","112.670,00","42,52","Australien","Asx - All Markets","AUD"
"RIVN","RIVIAN AUTOMOTIVE INC CLASS A","Zyklische Konsumgüter ","Aktien","4.772.551,02","0,05","4.772.551,02","407.562,00","11,71","Vereinigte Staaten","NASDAQ","USD"
"MNDI","MONDI PLC","Materialien","Aktien","4.765.751,16","0,05","4.765.751,16","256.507,00","18,58","Vereinigtes Königreich","London Stock Exchange","GBP"
"MOWI","MOWI","Nichtzyklische Konsumgüter","Aktien","4.764.659,00","0,05","4.764.659,00","270.431,00","17,62","Norwegen","Oslo Bors Asa","NOK"
"BOL","BOLIDEN","Materialien","Aktien","4.752.660,03","0,05","4.752.660,03","158.957,00","29,90","Schweden","Nasdaq Omx Nordic","SEK"
"SHL","SONIC HEALTHCARE LTD","Gesundheitsversorgung","Aktien","4.736.358,69","0,04","4.736.358,69","265.192,00","17,86","Australien","Asx - All Markets","AUD"
"KGF","KINGFISHER PLC","Zyklische Konsumgüter ","Aktien","4.650.186,86","0,04","4.650.186,86","1.084.732,00","4,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"CCH","COCA COLA HBC AG","Nichtzyklische Konsumgüter","Aktien","4.623.964,75","0,04","4.623.964,75","127.444,00","36,28","Vereinigtes Königreich","London Stock Exchange","GBP"
"7272","YAMAHA MOTOR LTD","Zyklische Konsumgüter ","Aktien","4.534.371,86","0,04","4.534.371,86","516.500,00","8,78","Japan","Tokyo Stock Exchange","JPY"
"S68","SINGAPORE EXCHANGE LTD","Financials","Aktien","4.489.622,48","0,04","4.489.622,48","516.127,00","8,70","Singapur","Singapore Exchange","SGD"
"5411","JFE HOLDINGS INC","Materialien","Aktien","4.484.780,35","0,04","4.484.780,35","334.500,00","13,41","Japan","Tokyo Stock Exchange","JPY"
"ASRNL","ASR NEDERLAND NV","Financials","Aktien","4.458.021,37","0,04","4.458.021,37","92.098,00","48,41","Niederlande","Euronext Amsterdam","EUR"
"2801","KIKKOMAN CORP","Nichtzyklische Konsumgüter","Aktien","4.432.738,60","0,04","4.432.738,60","395.700,00","11,20","Japan","Tokyo Stock Exchange","JPY"
"LEG","LEG IMMOBILIEN N","Immobilien","Aktien","4.421.896,12","0,04","4.421.896,12","43.059,00","102,69","Deutschland","Xetra","EUR"
"3402","TORAY INDUSTRIES INC","Materialien","Aktien","4.363.654,17","0,04","4.363.654,17","807.100,00","5,41","Japan","Tokyo Stock Exchange","JPY"
"TW.","TAYLOR WIMPEY PLC","Zyklische Konsumgüter ","Aktien","4.345.251,72","0,04","4.345.251,72","1.976.384,00","2,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"G1A","GEA GROUP AG","Industrie","Aktien","4.300.301,35","0,04","4.300.301,35","90.126,00","47,71","Deutschland","Xetra","EUR"
"FSV","FIRSTSERVICE SUBORDINATE VOTING CO","Immobilien","Aktien","4.263.007,58","0,04","4.263.007,58","23.534,00","181,14","Kanada","Toronto Stock Exchange","CAD"
"6504","FUJI ELECTRIC LTD","Industrie","Aktien","4.186.051,86","0,04","4.186.051,86","72.400,00","57,82","Japan","Tokyo Stock Exchange","JPY"
"6645","OMRON CORP","IT","Aktien","4.084.561,22","0,04","4.084.561,22","95.400,00","42,82","Japan","Tokyo Stock Exchange","JPY"
"STERV","STORA ENSO CLASS R","Materialien","Aktien","4.076.764,88","0,04","4.076.764,88","338.132,00","12,06","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"9042","HANKYU HANSHIN HOLDINGS INC","Industrie","Aktien","4.074.167,62","0,04","4.074.167,62","133.800,00","30,45","Japan","Tokyo Stock Exchange","JPY"
"VER","VERBUND AG","Versorger","Aktien","4.072.439,17","0,04","4.072.439,17","50.375,00","80,84","Österreich","Wiener Boerse Ag","EUR"
"GIL","GILDAN ACTIVEWEAR INC","Zyklische Konsumgüter ","Aktien","4.016.721,30","0,04","4.016.721,30","87.950,00","45,67","Kanada","Toronto Stock Exchange","CAD"
"CRDA","CRODA INTERNATIONAL PLC","Materialien","Aktien","4.003.589,88","0,04","4.003.589,88","77.081,00","51,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"DCC","DCC PLC","Industrie","Aktien","3.929.131,54","0,04","3.929.131,54","57.448,00","68,39","Vereinigtes Königreich","London Stock Exchange","GBP"
"5713","SUMITOMO METAL MINING LTD","Materialien","Aktien","3.923.891,02","0,04","3.923.891,02","144.800,00","27,10","Japan","Tokyo Stock Exchange","JPY"
"EDPR","EDP RENOVAVEIS SA","Versorger","Aktien","3.895.730,30","0,04","3.895.730,30","230.615,00","16,89","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"GPT","GPT GROUP STAPLED UNITS","Immobilien","Aktien","3.866.772,29","0,04","3.866.772,29","1.113.869,00","3,47","Australien","Asx - All Markets","AUD"
"BKG","BERKELEY GROUP HOLDINGS (THE) PLC","Zyklische Konsumgüter ","Aktien","3.860.844,57","0,04","3.860.844,57","59.366,00","65,03","Vereinigtes Königreich","London Stock Exchange","GBP"
"RXL","REXEL SA","Industrie","Aktien","3.860.241,14","0,04","3.860.241,14","131.024,00","29,46","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ALD","AMPOL LTD","Energie","Aktien","3.785.877,22","0,04","3.785.877,22","195.331,00","19,38","Australien","Asx - All Markets","AUD"
"ORK","ORKLA","Nichtzyklische Konsumgüter","Aktien","3.774.599,62","0,04","3.774.599,62","407.183,00","9,27","Norwegen","Oslo Bors Asa","NOK"
"SBRY","SAINSBURY(J) PLC","Nichtzyklische Konsumgüter","Aktien","3.754.574,49","0,04","3.754.574,49","966.211,00","3,89","Vereinigtes Königreich","London Stock Exchange","GBP"
"ZAL","ZALANDO","Zyklische Konsumgüter ","Aktien","3.743.929,96","0,04","3.743.929,96","125.229,00","29,90","Deutschland","Xetra","EUR"
"9005","TOKYU CORP","Industrie","Aktien","3.711.669,61","0,04","3.711.669,61","289.000,00","12,84","Japan","Tokyo Stock Exchange","JPY"
"BSL","BLUESCOPE STEEL LTD","Materialien","Aktien","3.684.713,92","0,03","3.684.713,92","257.422,00","14,31","Australien","Asx - All Markets","AUD"
"PST","POSTE ITALIANE","Financials","Aktien","3.666.064,63","0,03","3.666.064,63","265.538,00","13,81","Italien","Borsa Italiana","EUR"
"SIGN","SIG GROUP N AG","Materialien","Aktien","3.569.969,17","0,03","3.569.969,17","177.642,00","20,10","Schweiz","SIX Swiss Exchange","CHF"
"CTC.A","CANADIAN TIRE LTD CLASS A","Zyklische Konsumgüter ","Aktien","3.538.412,10","0,03","3.538.412,10","30.253,00","116,96","Kanada","Toronto Stock Exchange","CAD"
"MGR","MIRVAC GROUP STAPLED UNITS","Immobilien","Aktien","3.502.613,11","0,03","3.502.613,11","2.291.480,00","1,53","Australien","Asx - All Markets","AUD"
"BEN","FRANKLIN RESOURCES INC","Financials","Aktien","3.501.365,74","0,03","3.501.365,74","168.254,00","20,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4151","KYOWA KIRIN LTD","Gesundheitsversorgung","Aktien","3.499.273,03","0,03","3.499.273,03","157.500,00","22,22","Japan","Tokyo Stock Exchange","JPY"
"METSO","METSO CORPORATION","Industrie","Aktien","3.467.035,96","0,03","3.467.035,96","361.203,00","9,60","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"9CI","CAPITALAND INVESTMENT LTD","Immobilien","Aktien","3.427.055,59","0,03","3.427.055,59","1.512.700,00","2,27","Singapur","Singapore Exchange","SGD"
"ORI","ORICA LTD","Materialien","Aktien","3.377.805,01","0,03","3.377.805,01","282.346,00","11,96","Australien","Asx - All Markets","AUD"
"4204","SEKISUI CHEMICAL LTD","Zyklische Konsumgüter ","Aktien","3.373.873,37","0,03","3.373.873,37","220.900,00","15,27","Japan","Tokyo Stock Exchange","JPY"
"4612","NIPPON PAINT HOLDINGS LTD","Materialien","Aktien","3.323.669,89","0,03","3.323.669,89","550.900,00","6,03","Japan","Tokyo Stock Exchange","JPY"
"DXS","DEXUS STAPLED UNITS","Immobilien","Aktien","3.296.929,84","0,03","3.296.929,84","625.395,00","5,27","Australien","Asx - All Markets","AUD"
"KESKOB","KESKO CLASS B","Nichtzyklische Konsumgüter","Aktien","3.229.698,54","0,03","3.229.698,54","158.817,00","20,34","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"66","MTR CORPORATION CORP LTD","Industrie","Aktien","3.228.249,78","0,03","3.228.249,78","903.000,00","3,58","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"6841","YOKOGAWA ELECTRIC CORP","IT","Aktien","3.224.498,91","0,03","3.224.498,91","125.500,00","25,69","Japan","Tokyo Stock Exchange","JPY"
"MEL","MERIDIAN ENERGY LTD","Versorger","Aktien","3.197.289,88","0,03","3.197.289,88","846.775,00","3,78","Neuseeland","New Zealand Exchange Ltd","NZD"
"7752","RICOH LTD","IT","Aktien","3.179.755,95","0,03","3.179.755,95","299.100,00","10,63","Japan","Tokyo Stock Exchange","JPY"
"SAP","SAPUTO INC","Nichtzyklische Konsumgüter","Aktien","3.177.677,77","0,03","3.177.677,77","148.039,00","21,47","Kanada","Toronto Stock Exchange","CAD"
"PLS","PILBARA MINERALS LTD","Materialien","Aktien","3.147.992,47","0,03","3.147.992,47","1.660.871,00","1,90","Australien","Asx - All Markets","AUD"
"3088","MATSUKIYOKARA","Nichtzyklische Konsumgüter","Aktien","3.136.404,61","0,03","3.136.404,61","198.600,00","15,79","Japan","Tokyo Stock Exchange","JPY"
"WFG","WEST FRASER TIMBER LTD","Materialien","Aktien","3.052.924,24","0,03","3.052.924,24","32.103,00","95,10","Kanada","Toronto Stock Exchange","CAD"
"6448","BROTHER INDUSTRIES LTD","IT","Aktien","3.005.891,92","0,03","3.005.891,92","155.500,00","19,33","Japan","Tokyo Stock Exchange","JPY"
"6724","SEIKO EPSON CORP","IT","Aktien","2.978.225,50","0,03","2.978.225,50","160.000,00","18,61","Japan","Tokyo Stock Exchange","JPY"
"PHNX","PHOENIX GROUP HOLDINGS PLC","Financials","Aktien","2.967.996,17","0,03","2.967.996,17","407.077,00","7,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"4528","ONO PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","2.958.708,07","0,03","2.958.708,07","217.200,00","13,62","Japan","Tokyo Stock Exchange","JPY"
"ANA","ACCIONA SA","Versorger","Aktien","2.881.022,65","0,03","2.881.022,65","20.684,00","139,29","Spanien","Bolsa De Madrid","EUR"
"3626","TIS INC","IT","Aktien","2.803.437,53","0,03","2.803.437,53","113.900,00","24,61","Japan","Tokyo Stock Exchange","JPY"
"PKI","PARKLAND CORP","Energie","Aktien","2.679.127,00","0,03","2.679.127,00","103.886,00","25,79","Kanada","Toronto Stock Exchange","CAD"
"ADP","AEROPORTS DE PARIS SA","Industrie","Aktien","2.637.576,63","0,02","2.637.576,63","20.476,00","128,81","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BEPC","BROOKFIELD RENEWABLE SUBORDINATE V","Versorger","Aktien","2.619.537,67","0,02","2.619.537,67","86.168,00","30,40","Kanada","Toronto Stock Exchange","CAD"
"JPY","JPY CASH","Cash und/oder Derivate","Geldmarkt","2.618.032,26","0,02","2.618.032,26","378.135.490,00","0,69","Japan","-","JPY"
"4183","MITSUI CHEMICALS INC","Materialien","Aktien","2.611.112,27","0,02","2.611.112,27","97.200,00","26,86","Japan","Tokyo Stock Exchange","JPY"
"83","SINO LAND LTD","Immobilien","Aktien","2.590.738,30","0,02","2.590.738,30","2.504.000,00","1,03","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"ELI","ELIA GROUP SA","Versorger","Aktien","2.577.952,88","0,02","2.577.952,88","23.089,00","111,65","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"3092","ZOZO INC","Zyklische Konsumgüter ","Aktien","2.548.578,95","0,02","2.548.578,95","75.200,00","33,89","Japan","Tokyo Stock Exchange","JPY"
"AUD","AUD CASH","Cash und/oder Derivate","Geldmarkt","2.517.493,12","0,02","2.517.493,12","3.705.738,00","67,93","Australien","-","AUD"
"GJF","GJENSIDIGE FORSIKRING","Financials","Aktien","2.516.787,94","0,02","2.516.787,94","138.083,00","18,23","Norwegen","Oslo Bors Asa","NOK"
"9143","SG HOLDINGS LTD","Industrie","Aktien","2.406.525,43","0,02","2.406.525,43","222.100,00","10,84","Japan","Tokyo Stock Exchange","JPY"
"PUM","PUMA","Zyklische Konsumgüter ","Aktien","2.404.300,06","0,02","2.404.300,06","61.176,00","39,30","Deutschland","Xetra","EUR"
"SDR","SCHRODERS PLC","Financials","Aktien","2.384.758,23","0,02","2.384.758,23","527.212,00","4,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"TEMN","TEMENOS AG","IT","Aktien","2.347.160,75","0,02","2.347.160,75","34.355,00","68,32","Schweiz","SIX Swiss Exchange","CHF"
"9202","ANA HOLDINGS INC","Industrie","Aktien","2.332.055,25","0,02","2.332.055,25","110.400,00","21,12","Japan","Tokyo Stock Exchange","JPY"
"CAD","CAD CASH","Cash und/oder Derivate","Geldmarkt","2.305.434,67","0,02","2.305.434,67","3.129.743,00","73,66","Kanada","-","CAD"
"GBP","GBP CASH","Cash und/oder Derivate","Geldmarkt","2.213.371,19","0,02","2.213.371,19","1.666.632,00","132,81","Vereinigtes Königreich","-","GBP"
"RF","EURAZEO","Financials","Aktien","2.172.837,75","0,02","2.172.837,75","26.512,00","81,96","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BCVN","BC VAUD N","Financials","Aktien","2.126.091,84","0,02","2.126.091,84","20.770,00","102,36","Schweiz","SIX Swiss Exchange","CHF"
"19","SWIRE PACIFIC LTD A","Industrie","Aktien","2.078.586,42","0,02","2.078.586,42","255.000,00","8,15","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"4062","IBIDEN LTD","IT","Aktien","1.906.050,47","0,02","1.906.050,47","59.900,00","31,82","Japan","Tokyo Stock Exchange","JPY"
"HSBFT","CASH COLLATERAL USD HSBFT","Cash und/oder Derivate","Cash Collateral and Margins","1.855.993,00","0,02","1.855.993,00","1.855.993,00","100,00","Vereinigte Staaten","-","USD"
"COV","COVIVIO SA","Immobilien","Aktien","1.812.018,95","0,02","1.812.018,95","29.300,00","61,84","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MCY","MERCURY NZ LTD","Versorger","Aktien","1.805.721,47","0,02","1.805.721,47","484.617,00","3,73","Neuseeland","New Zealand Exchange Ltd","NZD"
"DKK","DKK CASH","Cash und/oder Derivate","Geldmarkt","1.426.944,54","0,01","1.426.944,54","9.551.111,00","14,94","Dänemark","-","DKK"
"RED","REDEIA CORPORACION SA","Versorger","Aktien","1.285.079,85","0,01","1.285.079,85","68.200,00","18,84","Spanien","Bolsa De Madrid","EUR"
"CHF","CHF CASH","Cash und/oder Derivate","Geldmarkt","995.895,13","0,01","995.895,13","846.909,00","117,59","Schweiz","-","CHF"
"HKD","HKD CASH","Cash und/oder Derivate","Geldmarkt","938.255,09","0,01","938.255,09","7.309.148,00","12,84","Hongkong","-","HKD"
"SGD","SGD CASH","Cash und/oder Derivate","Geldmarkt","697.101,83","0,01","697.101,83","901.562,00","77,32","Singapur","-","SGD"
"NZD","NZD CASH","Cash und/oder Derivate","Geldmarkt","410.645,62","0,00","410.645,62","660.149,00","62,20","Neuseeland","-","NZD"
"SEK","SEK CASH","Cash und/oder Derivate","Geldmarkt","219.924,13","0,00","219.924,13","2.243.446,00","9,80","Schweden","-","SEK"
"NOK","NOK CASH","Cash und/oder Derivate","Geldmarkt","210.143,56","0,00","210.143,56","2.212.507,00","9,50","Norwegen","-","NOK"
"ILS","ILS CASH","Cash und/oder Derivate","Geldmarkt","28.038,91","0,00","28.038,91","106.019,00","26,45","Israel","-","ILS"
"2471452D","CAPITALAND INT COMM TRUST Prvt","Immobilien","Aktien","12.664,98","0,00","12.664,98","176.125,00","0,07","Singapur","NO MARKET (E.G. UNLISTED)","SGD"
"AUD","AUD/EUR","Cash und/oder Derivate","FX","-2,47","0,00","-2,47","-380.891,00","1,11","Europäische Union","-","EUR"
"CAD","CAD/EUR","Cash und/oder Derivate","FX","-13,68","0,00","-13,68","-877.285,00","1,11","Europäische Union","-","EUR"
"CHF","CHF/EUR","Cash und/oder Derivate","FX","-2,92","0,00","-2,92","-444.936,00","1,11","Europäische Union","-","EUR"
"DKK","DKK/EUR","Cash und/oder Derivate","FX","-2,82","0,00","-2,82","-3.570.482,00","1,11","Europäische Union","-","EUR"
"MARGIN_EUR","FUTURES EUR MARGIN BALANCE","Cash und/oder Derivate","Cash Collateral and Margins","-10,21","0,00","-10,21","-9,00","111,43","Europäische Union","-","EUR"
"GBP","GBP/EUR","Cash und/oder Derivate","FX","-2,59","0,00","-2,59","-311.124,00","1,11","Europäische Union","-","EUR"
"HKD","HKD/EUR","Cash und/oder Derivate","FX","-0,51","0,00","-0,51","-912.080,00","1,11","Europäische Union","-","EUR"
"JPY","JPY/EUR","Cash und/oder Derivate","FX","44,43","0,00","44,43","-183.701.880,00","1,11","Europäische Union","-","EUR"
"MFSZ4","MSCI EAFE INDEX DEC 24","Cash und/oder Derivate","Futures","0,00","0,00","10.162.520,00","83,00","2.448,80","-","Ice Futures U.S.","USD"
"NOK","NOK/EUR","Cash und/oder Derivate","FX","-0,52","0,00","-0,52","-599.454,00","1,11","Europäische Union","-","EUR"
"NZD","NZD/EUR","Cash und/oder Derivate","FX","-0,13","0,00","-0,13","-14.872,00","1,11","Europäische Union","-","EUR"
"ESZ4","S&P500 EMINI DEC 24","Cash und/oder Derivate","Futures","0,00","0,00","28.810.000,00","100,00","5.762,00","-","Index And Options Market","USD"
"SEK","SEK/EUR","Cash und/oder Derivate","FX","-0,70","0,00","-0,70","-861.549,00","1,11","Europäische Union","-","EUR"
"SGD","SGD/EUR","Cash und/oder Derivate","FX","-0,58","0,00","-0,58","-31.274,00","1,11","Europäische Union","-","EUR"
"USD","USD/EUR","Cash und/oder Derivate","FX","-145,42","0,00","-145,42","-12.860.502,00","1,11","Europäische Union","-","EUR"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","-16.090.147,64","-0,15","-16.090.147,64","-14.439.691,00","111,43","Europäische Union","-","EUR"
 
