Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","28.172.784,24","0,27","28.172.784,24","290.613,00","96,94","Schweiz","SIX Swiss Exchange","CHF"
"SIKA","SIKA AG","Materialien","Aktien","28.040.666,86","0,27","28.040.666,86","88.679,00","316,20","Schweiz","SIX Swiss Exchange","CHF"
"7741","HOYA CORP","Gesundheitsversorgung","Aktien","27.860.051,23","0,26","27.860.051,23","203.900,00","136,64","Japan","Tokyo Stock Exchange","JPY"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Aktien","27.193.325,94","0,26","27.193.325,94","323.499,00","84,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXC","EXELON CORP","Versorger","Aktien","27.039.573,39","0,26","27.039.573,39","671.457,00","40,27","Vereinigte Staaten","NASDAQ","USD"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","26.895.552,33","0,25","26.895.552,33","374.445,00","71,83","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AMP","AMERIPRISE FINANCE INC","Financials","Aktien","26.833.296,16","0,25","26.833.296,16","58.256,00","460,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UMG","UNIVERSAL MUSIC GROUP NV","Kommunikation","Aktien","26.624.685,84","0,25","26.624.685,84","1.050.270,00","25,35","Niederlande","Euronext Amsterdam","EUR"
"GWW","WW GRAINGER INC","Industrie","Aktien","26.562.117,26","0,25","26.562.117,26","25.733,00","1.032,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRGP","TARGA RESOURCES CORP","Energie","Aktien","26.389.920,25","0,25","26.389.920,25","172.675,00","152,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","26.238.306,68","0,25","26.238.306,68","42.005,00","624,65","Schweiz","SIX Swiss Exchange","CHF"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","26.185.583,56","0,25","26.185.583,56","26.185.584,00","100,00","Vereinigte Staaten","-","USD"
"IQV","IQVIA HOLDINGS INC","Gesundheitsversorgung","Aktien","25.656.487,92","0,24","25.656.487,92","105.966,00","242,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DB1","DEUTSCHE BOERSE AG","Financials","Aktien","25.636.161,22","0,24","25.636.161,22","110.502,00","232,00","Deutschland","Xetra","EUR"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Aktien","25.338.268,96","0,24","25.338.268,96","208.786,00","121,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PAYX","PAYCHEX INC","Industrie","Aktien","25.106.450,52","0,24","25.106.450,52","188.402,00","133,26","Vereinigte Staaten","NASDAQ","USD"
"WKL","WOLTERS KLUWER NV","Industrie","Aktien","25.067.918,42","0,24","25.067.918,42","144.533,00","173,44","Niederlande","Euronext Amsterdam","EUR"
"III","3I GROUP PLC","Financials","Aktien","24.829.578,94","0,24","24.829.578,94","566.039,00","43,87","Vereinigtes Königreich","London Stock Exchange","GBP"
"PWR","QUANTA SERVICES INC","Industrie","Aktien","24.766.083,71","0,23","24.766.083,71","85.139,00","290,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMI","CUMMINS INC","Industrie","Aktien","24.523.574,40","0,23","24.523.574,40","79.560,00","308,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GMG","GOODMAN GROUP UNITS","Immobilien","Aktien","24.505.295,37","0,23","24.505.295,37","993.984,00","24,65","Australien","Asx - All Markets","AUD"
"IDXX","IDEXX LABORATORIES INC","Gesundheitsversorgung","Aktien","24.484.156,58","0,23","24.484.156,58","48.317,00","506,74","Vereinigte Staaten","NASDAQ","USD"
"GIS","GENERAL MILLS INC","Nichtzyklische Konsumgüter","Aktien","24.462.303,59","0,23","24.462.303,59","328.309,00","74,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AEM","AGNICO EAGLE MINES LTD","Materialien","Aktien","24.091.300,06","0,23","24.091.300,06","290.145,00","83,03","Kanada","Toronto Stock Exchange","CAD"
"ED","CONSOLIDATED EDISON INC","Versorger","Aktien","24.038.279,85","0,23","24.038.279,85","232.591,00","103,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SREN","SWISS RE AG","Financials","Aktien","23.990.020,46","0,23","23.990.020,46","175.418,00","136,76","Schweiz","SIX Swiss Exchange","CHF"
"A","AGILENT TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","23.874.838,25","0,23","23.874.838,25","170.425,00","140,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNC","CENTENE CORP","Gesundheitsversorgung","Aktien","23.517.356,35","0,22","23.517.356,35","311.035,00","75,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Gesundheitsversorgung","Aktien","23.312.709,88","0,22","23.312.709,88","348.836,00","66,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FERG","FERGUSON ENTERPRISES INC","Industrie","Aktien","23.080.684,44","0,22","23.080.684,44","117.447,00","196,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IT","GARTNER INC","IT","Aktien","22.781.311,63","0,22","22.781.311,63","44.357,00","513,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IR","INGERSOLL RAND INC","Industrie","Aktien","22.703.403,24","0,22","22.703.403,24","234.612,00","96,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrie","Aktien","22.095.316,67","0,21","22.095.316,67","113.911,00","193,97","Vereinigte Staaten","NASDAQ","USD"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","21.954.390,78","0,21","21.954.390,78","90.461,00","242,70","Deutschland","Xetra","EUR"
"CBRE","CBRE GROUP INC CLASS A","Immobilien","Aktien","21.615.737,60","0,20","21.615.737,60","177.761,00","121,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HAL","HALLIBURTON","Energie","Aktien","21.155.599,43","0,20","21.155.599,43","717.869,00","29,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DFS","DISCOVER FINANCIAL SERVICES","Financials","Aktien","20.798.695,34","0,20","20.798.695,34","145.966,00","142,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NUE","NUCOR CORP","Materialien","Aktien","20.401.612,71","0,19","20.401.612,71","139.441,00","146,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KPN","KONINKLIJKE KPN NV","Kommunikation","Aktien","20.349.420,34","0,19","20.349.420,34","5.036.422,00","4,04","Niederlande","Euronext Amsterdam","EUR"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Financials","Aktien","20.114.170,72","0,19","20.114.170,72","172.921,00","116,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IRM","IRON MOUNTAIN INC","Immobilien","Aktien","20.080.715,20","0,19","20.080.715,20","174.070,00","115,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AWK","AMERICAN WATER WORKS INC","Versorger","Aktien","19.450.996,99","0,18","19.450.996,99","132.113,00","147,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6702","FUJITSU LTD","IT","Aktien","19.350.000,00","0,18","19.350.000,00","962.900,00","20,10","Japan","Tokyo Stock Exchange","JPY"
"PPL","PEMBINA PIPELINE CORP","Energie","Aktien","19.272.410,87","0,18","19.272.410,87","475.091,00","40,57","Kanada","Toronto Stock Exchange","CAD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Aktien","19.146.383,15","0,18","19.146.383,15","338.572,00","56,55","Kanada","Toronto Stock Exchange","CAD"
"6367","DAIKIN INDUSTRIES LTD","Industrie","Aktien","19.112.071,17","0,18","19.112.071,17","153.700,00","124,35","Japan","Tokyo Stock Exchange","JPY"
"6857","ADVANTEST CORP","IT","Aktien","19.015.532,94","0,18","19.015.532,94","436.300,00","43,58","Japan","Tokyo Stock Exchange","JPY"
"XYL","XYLEM INC","Industrie","Aktien","18.955.094,86","0,18","18.955.094,86","140.606,00","134,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INF","INFORMA PLC","Kommunikation","Aktien","18.876.179,88","0,18","18.876.179,88","1.700.988,00","11,10","Vereinigtes Königreich","London Stock Exchange","GBP"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","18.640.213,59","0,18","18.640.213,59","549.005,00","33,95","Niederlande","Euronext Amsterdam","EUR"
"NA","NATIONAL BANK OF CANADA","Financials","Aktien","18.483.190,34","0,18","18.483.190,34","197.232,00","93,71","Kanada","Toronto Stock Exchange","CAD"
"AMS","AMADEUS IT GROUP SA","Zyklische Konsumgüter ","Aktien","18.479.311,40","0,18","18.479.311,40","254.665,00","72,56","Spanien","Bolsa De Madrid","EUR"
"NDAQ","NASDAQ INC","Financials","Aktien","18.161.750,59","0,17","18.161.750,59","244.471,00","74,29","Vereinigte Staaten","NASDAQ","USD"
"MTD","METTLER TOLEDO INC","Gesundheitsversorgung","Aktien","17.490.602,29","0,17","17.490.602,29","12.439,00","1.406,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROK","ROCKWELL AUTOMATION INC","Industrie","Aktien","17.437.994,40","0,17","17.437.994,40","66.659,00","261,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PPG","PPG INDUSTRIES INC","Materialien","Aktien","17.313.422,50","0,16","17.313.422,50","136.865,00","126,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash und/oder Derivate","Money Market","17.112.749,48","0,16","17.112.749,48","17.112.749,00","1,00","Irland","-","USD"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","17.099.190,11","0,16","17.099.190,11","593.167,00","28,83","Italien","Borsa Italiana","EUR"
"BIIB","BIOGEN INC","Gesundheitsversorgung","Aktien","16.852.698,24","0,16","16.852.698,24","84.534,00","199,36","Vereinigte Staaten","NASDAQ","USD"
"LULU","LULULEMON ATHLETICA INC","Zyklische Konsumgüter ","Aktien","16.702.521,22","0,16","16.702.521,22","63.602,00","262,61","Vereinigte Staaten","NASDAQ","USD"
"TSCO","TRACTOR SUPPLY","Zyklische Konsumgüter ","Aktien","16.550.027,34","0,16","16.550.027,34","60.206,00","274,89","Vereinigte Staaten","NASDAQ","USD"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrie","Aktien","16.526.460,73","0,16","16.526.460,73","1.797.995,00","9,19","Australien","Asx - All Markets","AUD"
"4661","ORIENTAL LAND LTD","Zyklische Konsumgüter ","Aktien","16.502.482,09","0,16","16.502.482,09","609.600,00","27,07","Japan","Tokyo Stock Exchange","JPY"
"AXON","AXON ENTERPRISE INC","Industrie","Aktien","16.397.833,26","0,16","16.397.833,26","41.694,00","393,29","Vereinigte Staaten","NASDAQ","USD"
"BT.A","BT GROUP PLC","Kommunikation","Aktien","16.010.815,06","0,15","16.010.815,06","8.254.627,00","1,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"ES","EVERSOURCE ENERGY","Versorger","Aktien","15.761.517,84","0,15","15.761.517,84","234.756,00","67,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VLTO","VERALTO CORP","Industrie","Aktien","15.694.385,49","0,15","15.694.385,49","143.367,00","109,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
