Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Aktien","5.101.643,08","0,51","5.101.643,08","426.500,00","11,96","Singapur","Singapore Exchange","SGD"
"HPQ","HP INC","IT","Aktien","4.895.077,00","0,49","4.895.077,00","140.825,00","34,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Aktien","4.880.299,80","0,48","4.880.299,80","86.300,00","56,55","Kanada","Toronto Stock Exchange","CAD"
"7751","CANON INC","IT","Aktien","4.708.209,23","0,47","4.708.209,23","143.800,00","32,74","Japan","Tokyo Stock Exchange","JPY"
"WDS","WOODSIDE ENERGY GROUP LTD","Energie","Aktien","4.705.339,07","0,47","4.705.339,07","279.622,00","16,83","Australien","Asx - All Markets","AUD"
"NA","NATIONAL BANK OF CANADA","Financials","Aktien","4.682.273,27","0,46","4.682.273,27","49.964,00","93,71","Kanada","Toronto Stock Exchange","CAD"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","4.661.708,59","0,46","4.661.708,59","137.300,00","33,95","Niederlande","Euronext Amsterdam","EUR"
"U11","UNITED OVERSEAS BANK LTD","Financials","Aktien","4.632.943,63","0,46","4.632.943,63","181.900,00","25,47","Singapur","Singapore Exchange","SGD"
"STLAM","STELLANTIS NV","Zyklische Konsumgüter ","Aktien","4.483.463,85","0,45","4.483.463,85","298.706,00","15,01","Italien","Borsa Italiana","EUR"
"ABBV","ABBVIE INC","Gesundheitsversorgung","Aktien","4.397.379,63","0,44","4.397.379,63","22.729,00","193,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","4.243.786,95","0,42","4.243.786,95","147.216,00","28,83","Italien","Borsa Italiana","EUR"
"RIO","RIO TINTO LTD","Materialien","Aktien","4.198.030,77","0,42","4.198.030,77","54.676,00","76,78","Australien","Asx - All Markets","AUD"
"SSE","SSE PLC","Versorger","Aktien","4.076.451,03","0,40","4.076.451,03","158.918,00","25,65","Vereinigtes Königreich","London Stock Exchange","GBP"
